op  mnemo  operand  #  ~  F
--  -----  -------  -  -  -
00  NOP    -        1  1  1
01  HALT   -        1  1  2
02  OUTL   BUS,A    1  2  8
03  ADD    A,#n8    2  2  1
04  JMP    a11      2  2  1
05  EN     I        1  1  1
06  -      -        -  -  -
07  DEC    A        1  1  1
08  INS    A,BUS    1  2  8
09  IN     A,P1     1  2  1
0A  IN     A,P2     1  2  1
0B  -      -        -  -  -
0C  MOVD   A,P4     1  2  1
0D  MOVD   A,P5     1  2  1
0E  MOVD   A,P6     1  2  1
0F  MOVD   A,P7     1  2  1
10  INC    @R0      1  1  1
11  INC    @R1      1  1  1
12  JB     0,a8     2  2  1
13  ADDC   A,#n8    2  2  1
14  CALL   a11      2  2  1
15  DIS    I        1  1  1
16  JTF    a8       2  2  1
17  INC    A        1  1  1
18  INC    R0       1  1  1
19  INC    R1       1  1  1
1A  INC    R2       1  1  1
1B  INC    R3       1  1  1
1C  INC    R4       1  1  1
1D  INC    R5       1  1  1
1E  INC    R6       1  1  1
1F  INC    R7       1  1  1
20  XCH    A,@R0    1  1  1
21  XCH    A,@R1    1  1  1
22  -      -        -  -  -
23  MOV    A,#n8    2  2  1
24  JMP    a11      2  2  1
25  EN     TCNTI    1  1  1
26  JNT0   a8       2  2  1
27  CLR    A        1  1  1
28  XCH    A,R0     1  1  1
29  XCH    A,R1     1  1  1
2A  XCH    A,R2     1  1  1
2B  XCH    A,R3     1  1  1
2C  XCH    A,R4     1  1  1
2D  XCH    A,R5     1  1  1
2E  XCH    A,R6     1  1  1
2F  XCH    A,R7     1  1  1
30  XCHD   A,@R0    1  1  1
31  XCHD   A,@R1    1  1  1
32  JB     1,a8     2  2  1
33  -      -        -  -  -
34  CALL   a11      2  2  1
35  DIS    TCNTI    1  1  1
36  JT0    a8       2  2  1
37  CPL    A        1  1  1
38  -      -        -  -  -
39  OUTL   P1,A     1  2  1
3A  OUTL   P2,A     1  2  1
3B  -      -        -  -  -
3C  MOVD   P4,A     1  2  1
3D  MOVD   P5,A     1  2  1
3E  MOVD   P6,A     1  2  1
3F  MOVD   P7,A     1  2  1
40  ORL    A,@R0    1  1  1
41  ORL    A,@R1    1  1  1
42  MOV    A,T      1  1  1
43  ORL    A,#n8    2  2  1
44  JMP    a11      2  2  1
45  STRT   CNT      1  1  1
46  JNT1   a8       2  2  1
47  SWAP   A        1  1  1
48  ORL    A,R0     1  1  1
49  ORL    A,R1     1  1  1
4A  ORL    A,R2     1  1  1
4B  ORL    A,R3     1  1  1
4C  ORL    A,R4     1  1  1
4D  ORL    A,R5     1  1  1
4E  ORL    A,R6     1  1  1
4F  ORL    A,R7     1  1  1
50  ANL    A,@R0    1  1  1
51  ANL    A,@R1    1  1  1
52  JB     2,a8     2  2  1
53  ANL    A,#n8    2  2  1
54  CALL   a11      2  2  1
55  STRT   T        1  1  1
56  JT1    a8       2  2  1
57  DA     A        1  1  1
58  ANL    A,R0     1  1  1
59  ANL    A,R1     1  1  1
5A  ANL    A,R2     1  1  1
5B  ANL    A,R3     1  1  1
5C  ANL    A,R4     1  1  1
5D  ANL    A,R5     1  1  1
5E  ANL    A,R6     1  1  1
5F  ANL    A,R7     1  1  1
60  ADD    A,@R0    1  1  1
61  ADD    A,@R1    1  1  1
62  MOV    T,A      1  1  1
63  MOV    A,P1     1  1  4
64  JMP    a11      2  2  1
65  STOP   TCNT     1  1  1
66  -      -        -  -  -
67  RRC    A        1  1  1
68  ADD    A,R0     1  1  1
69  ADD    A,R1     1  1  1
6A  ADD    A,R2     1  1  1
6B  ADD    A,R3     1  1  1
6C  ADD    A,R4     1  1  1
6D  ADD    A,R5     1  1  1
6E  ADD    A,R6     1  1  1
6F  ADD    A,R7     1  1  1
70  ADDC   A,@R0    1  1  1
71  ADDC   A,@R1    1  1  1
72  JB     3,a8     2  2  1
73  MOV    A,P2     1  1  4
74  CALL   a11      2  2  1
75  ENT0   CLK      1  1  1
76  JF1    a8       2  2  1
77  RR     A        1  1  1
78  ADDC   A,R0     1  1  1
79  ADDC   A,R1     1  1  1
7A  ADDC   A,R2     1  1  1
