op  mnemo  operand     #  ~
--  -----  ----------  -  -
00  NOP    0           1  2
01  AJMP   a11         2  4
02  LJMP   a16         3  4
03  RR     A           1  2
04  INC    A           1  2
05  INC    a8          2  2
06  INC    @R0         1  2
07  INC    @R1         1  2
08  INC    R0          1  2
09  INC    R1          1  2
0A  INC    R2          1  2
0B  INC    R3          1  2
0C  INC    R4          1  2
0D  INC    R5          1  2
0E  INC    R6          1  2
0F  INC    R7          1  2
10  JBC    b8,r8       3  4
11  ACALL  a11         2  4
12  LCALL  a16         3  4
13  RRC    A           1  2
14  DEC    A           1  2
15  DEC    a8          2  2
16  DEC    @R0         1  2
17  DEC    @R1         1  2
18  DEC    R0          1  2
19  DEC    R1          1  2
1A  DEC    R2          1  2
1B  DEC    R3          1  2
1C  DEC    R4          1  2
1D  DEC    R5          1  2
1E  DEC    R6          1  2
1F  DEC    R7          1  2
20  JB     b8,r8       3  4
21  AJMP   a11         2  4
22  RET    -           1  4
23  RL     A           1  2
24  ADD    A,#n8       2  2
25  ADD    A,a8        2  2
26  ADD    A,@R0       1  2
27  ADD    A,@R1       1  2
28  ADD    A,R0        1  2
29  ADD    A,R1        1  2
2A  ADD    A,R2        1  2
2B  ADD    A,R3        1  2
2C  ADD    A,R4        1  2
2D  ADD    A,R5        1  2
2E  ADD    A,R6        1  2
2F  ADD    A,R7        1  2
30  JNB    b8,r8       3  4
31  ACALL  a11         2  4
32  RETI   -           1  4
33  RLC    A           1  2
34  ADDC   A,#n8       2  2
35  ADDC   A,a8        2  2
36  ADDC   A,@R0       1  2
37  ADDC   A,@R1       1  2
38  ADDC   A,R0        1  2
39  ADDC   A,R1        1  2
3A  ADDC   A,R2        1  2
3B  ADDC   A,R3        1  2
3C  ADDC   A,R4        1  2
3D  ADDC   A,R5        1  2
3E  ADDC   A,R6        1  2
3F  ADDC   A,R7        1  2
40  JC     r8          2  4
41  AJMP   a11         2  4
42  ORL    a8,A        2  2
43  ORL    a8,#n8      3  4
44  ORL    A,#n8       2  2
45  ORL    A,a8        2  2
46  ORL    A,@R0       1  2
47  ORL    A,@R1       1  2
48  ORL    A,R0        1  2
49  ORL    A,R1        1  2
4A  ORL    A,R2        1  2
4B  ORL    A,R3        1  2
