op  mnemo  operands  #    ~ i
--  -----  --------  ---  - -
00  SKIP   b         2    -
01  CLR    w         2    -
02  NOT    w         2    -
03  NEG    w         2    -
04  -      -         -    -
05  DEC    w         2    -
06  EXT    l         2    -
07  INC    w         2    -
08  SHR    w,c       3    -
09  SHL    w,c       3    -
0A  SHRA   w,c       3    -
0B  -      -         -    -
0C  SHRL   w,c       3    -
0D  SHLL   w,c       3    -
0E  SHRAL  w,c       3    -
0F  NORM   l,b       3    -
10  -      -         -    -
11  CLRB   b         2    -
12  NOTB   b         2    -
13  NEGB   b         2    -
14  -      -         -    -
15  DECB   b         2    -
16  EXTB   w         2    -
17  INCB   b         2    -
18  SHRB   b,c       2    -
19  SHLB   b,c       2    -
1A  SHRAB  b,c       2    -
1B  -      -         -    -
1C  -      -         -    -
1D  -      -         -    -
1E  -      -         -    -
1F  -      -         -    -
20  SJMP   r         2    -
21  SJMP   r         2    -
22  SJMP   r         2    -
23  SJMP   r         2    -
24  SJMP   r         2    -
25  SJMP   r         2    -
26  SJMP   r         2    -
27  SJMP   r         2    -
28  SCALL  r         2    2
29  SCALL  r         2    2
2A  SCALL  r         2    2
2B  SCALL  r         2    2
2C  SCALL  r         2    2
2D  SCALL  r         2    2
2E  SCALL  r         2    2
2F  SCALL  r         2    2
30  JBC    0,r       3    -
31  JBC    1,r       3    -
32  JBC    2,r       3    -
33  JBC    3,r       3    -
34  JBC    4,r       3    -
35  JBC    5,r       3    -
36  JBC    6,r       3    -
37  JBC    7,r       3    -
38  JBS    0,r       3    -
39  JBS    1,r       3    -
3A  JBS    2,r       3    -
3B  JBS    3,r       3    -
3C  JBS    4,r       3    -
3D  JBS    5,r       3    -
3E  JBS    6,r       3    -
3F  JBS    7,r       3    -
40  AND    w,w,w     4    -
41  AND    w,w,#     5    -
42  AND    w,w,[w]   4    2
43  AND    w,w,n[w]  5/6  2
44  ADD    w,w,w     4    -
45  ADD    w,w,#     5    -
46  ADD    w,w,[w]   4    2
47  ADD    w,w,n[w]  5/6  2
48  SUB    w,w,w     4    -
49  SUB    w,w,#     5    -
4A  SUB    w,w,[w]   4    2
4B  SUB    w,w,n[w]  5/6  2
4C  MULU   w,w,w     4    -
4D  MULU   w,w,#     5    -
4E  MULU   w,w,[w]   4    2
4F  MULU   w,w,n[w]  5/6  2
50  ANDB   b,b,b     4    -
51  ANDB   b,b,#     4    -
52  ANDB   b,b,[w]   4    1
53  ANDB   b,b,n[w]  5/6  1
54  ADDB   b,b,b     4    -
55  ADDB   b,b,#     4    -
56  ADDB   b,b,[w]   4    1
57  ADDB   b,b,n[w]  5/6  1
58  SUBB   b,b,b     4    -
59  SUBB   b,b,#     4    -
5A  SUBB   b,b,[w]   4    1
5B  SUBB   b,b,n[w]  5/6  1
5C  MULUB  w,b,b     4    -
5D  MULUB  w,b,#     4    -
5E  MULUB  w,b,[w]   4    1
5F  MULUB  w,b,n[w]  5/6  1
60  AND    w,w       3    -
61  AND    w,#       4    -
62  AND    w,[w]     3    2
63  AND    w,n[w]    4/5  2
64  ADD    w,w       3    -
65  ADD    w,#       4    -
66  ADD    w,[w]     3    2
67  ADD    w,n[w]    4/5  2
68  SUB    w,w       3    -
69  SUB    w,#       4    -
6A  SUB    w,[w]     3    2
6B  SUB    w,n[w]    4/5  2
6C  MULU   l,w       3    -
6D  MULU   l,#       4    -
6E  MULU   l,[w]     3    2
6F  MULY   l,n[w]    4/5  2
70  ANDB   b,b       3    -
71  ANDB   b,#       3    -
72  ANDB   b,[w]     3    1
73  ANDB   b,n[w]    4/5  1
74  ADDB   b,b       3    -
