op  nemo   operand   #  ~  bus sequence
--  -----  -------   -  -  ------------
00  -      -         -  -  -
01  -      -         -  -  -
02  -      -         -  -  -
03  -      -         -  -  -
04  -      -         -  -  -
05  -      -         -  -  -
06  -      -         -  -  -
07  -      -         -  -  -
08  -      -         -  -  -
09  -      -         -  -  -
0A  -      -         -  -  -
0B  -      -         -  -  -
0C  -      -         -  -  -
0D  -      -         -  -  -
0E  -      -         -  -  -
0F  -      -         -  -  -
10  -      -         -  -  -
11  -      -         -  -  -
12  -      -         -  -  -
13  -      -         -  -  -
14  -      -         -  -  -
15  -      -         -  -  -
16  -      -         -  -  -
17  -      -         -  -  -
18  -      -         -  -  -
19  -      -         -  -  -
1A  -      -         -  -  -
1B  -      -         -  -  -
1C  -      -         -  -  -
1D  -      -         -  -  -
1E  -      -         -  -  -
1F  -      -         -  -  -
20  -      -         -  -  -
21  -      -         -  -  -
22  -      -         -  -  -
23  -      -         -  -  -
24  -      -         -  -  -
25  -      -         -  -  -
26  -      -         -  -  -
27  -      -         -  -  -
28  -      -         -  -  -
29  -      -         -  -  -
2A  -      -         -  -  -
2B  -      -         -  -  -
2C  -      -         -  -  -
2D  -      -         -  -  -
2E  -      -         -  -  -
2F  -      -         -  -  -
30  -      -         -  -  -
31  -      -         -  -  -
32  -      -         -  -  -
33  -      -         -  -  -
34  -      -         -  -  -
35  -      -         -  -  -
36  -      -         -  -  -
37  -      -         -  -  -
38  -      -         -  -  -
39  -      -         -  -  -
3A  -      -         -  -  -
3B  -      -         -  -  -
3C  -      -         -  -  -
3D  -      -         -  -  -
3E  -      -         -  -  -
3F  -      -         -  -  -
40  -      -         -  -  -
41  -      -         -  -  -
42  -      -         -  -  -
43  -      -         -  -  -
44  -      -         -  -  -
45  -      -         -  -  -
46  -      -         -  -  -
47  -      -         -  -  -
48  -      -         -  -  -
49  -      -         -  -  -
4A  -      -         -  -  -
4B  -      -         -  -  -
4C  -      -         -  -  -
4D  -      -         -  -  -
4E  -      -         -  -  -
4F  -      -         -  -  -
50  -      -         -  -  -
51  -      -         -  -  -
52  -      -         -  -  -
53  -      -         -  -  -
54  -      -         -  -  -
55  -      -         -  -  -
56  -      -         -  -  -
57  -      -         -  -  -
58  -      -         -  -  -
59  -      -         -  -  -
5A  -      -         -  -  -
5B  -      -         -  -  -
5C  -      -         -  -  -
5D  -      -         -  -  -
5E  -      -         -  -  -
5F  -      -         -  -  -
60  NEG    d8,SP     3  5  0:2:3:N:R:W
61  CBEQ   d8,SP,r8  4  6  0:2:3:4:R:d:j
62  -      -         -  -  -
63  COM    d8,SP     3  5  0:2:3:N:R:W
64  LSR    d8,SP     4  5  0:2:3:N:R:W
65  -      -         -  -  -
66  ROR    d8,SP     3  5  0:2:3:N:R:W
67  ASR    d8,SP     3  5  0:2:3:N:R:W
68  ASL    d8,SP     3  5  0:2:3:N:R:W
69  ROL    d8,SP     3  5  0:2:3:N:R:W
6A  DEC    d8,SP     3  5  0:2:3:N:R:W
6B  DBNZ   d8,SP,r8  4  6  0:2:3:4:R:W:j
6C  INC    d8,SP     3  5  0:2:3:N:R:W
6D  TST    d8,SP     3  4  0:2:3:N:R
6E  -      -         -  -  -
6F  CLR    d8,SP     3  4  0:2:3:N:W
70  -      -         -  -  -
71  -      -         -  -  -
72  -      -         -  -  -
73  -      -         -  -  -
74  -      -         -  -  -
75  -      -         -  -  -
76  -      -         -  -  -
77  -      -         -  -  -
78  -      -         -  -  -
79  -      -         -  -  -
7A  -      -         -  -  -
7B  -      -         -  -  -
7C  -      -         -  -  -
7D  -      -         -  -  -
7E  -      -         -  -  -
7F  -      -         -  -  -
80  -      -         -  -  -
81  -      -         -  -  -
82  -      -         -  -  -
83  -      -         -  -  -
84  -      -         -  -  -
85  -      -         -  -  -
86  -      -         -  -  -
87  -      -         -  -  -
88  -      -         -  -  -
89  -      -         -  -  -
8A  -      -         -  -  -
8B  -      -         -  -  -
8C  -      -         -  -  -
8D  -      -         -  -  -
8E  -      -         -  -  -
8F  -      -         -  -  -
90  -      -         -  -  -
91  -      -         -  -  -
92  -      -         -  -  -
93  -      -         -  -  -
94  -      -         -  -  -
95  -      -         -  -  -
96  -      -         -  -  -
97  -      -         -  -  -
98  -      -         -  -  -
99  -      -         -  -  -
9A  -      -         -  -  -
9B  -      -         -  -  -
9C  -      -         -  -  -
